file_name,year,kind,page,method,chars,cjk_chars
25王道408历年真题.pdf,collection,合集,26,ocr_easyocr,1433,492
25王道408历年真题.pdf,collection,合集,27,ocr_easyocr,974,486
25王道408历年真题.pdf,collection,合集,28,ocr_easyocr,1185,476
2025年计算机408统考真题及答案.pdf,2025,解析/答案,1,ocr_easyocr,389,198
2025年计算机408统考真题及答案.pdf,2025,解析/答案,2,ocr_easyocr,378,225
2025年计算机408统考真题及答案.pdf,2025,解析/答案,3,ocr_easyocr,455,323
2025年计算机408统考真题及答案.pdf,2025,解析/答案,4,ocr_easyocr,781,541
2025年计算机408统考真题及答案.pdf,2025,解析/答案,5,ocr_easyocr,509,106
2025年计算机408统考真题及答案.pdf,2025,解析/答案,6,ocr_easyocr,381,131
2025年计算机408统考真题及答案.pdf,2025,解析/答案,7,ocr_easyocr,639,395
2025年计算机408统考真题及答案.pdf,2025,解析/答案,8,ocr_easyocr,469,287
2025年计算机408统考真题及答案.pdf,2025,解析/答案,9,ocr_easyocr,495,320
2025年计算机408统考真题及答案.pdf,2025,解析/答案,10,ocr_easyocr,737,543
2025年计算机408统考真题及答案.pdf,2025,解析/答案,11,ocr_easyocr,456,308
2025年计算机408统考真题及答案.pdf,2025,解析/答案,12,ocr_easyocr,308,194
2025年计算机408统考真题及答案.pdf,2025,解析/答案,13,ocr_easyocr,606,473
2025年计算机408统考真题及答案.pdf,2025,解析/答案,14,ocr_easyocr,348,254
2025年计算机408统考真题及答案.pdf,2025,解析/答案,15,ocr_easyocr,572,373
2025年计算机408统考真题及答案.pdf,2025,解析/答案,16,ocr_easyocr,717,442
2025年计算机408统考真题及答案.pdf,2025,解析/答案,17,ocr_easyocr,890,448
2025年计算机408统考真题及答案.pdf,2025,解析/答案,18,ocr_easyocr,718,427
2025年计算机408统考真题及答案.pdf,2025,解析/答案,19,ocr_easyocr,560,294
2025年计算机408统考真题及答案.pdf,2025,解析/答案,20,ocr_easyocr,874,536
2025年计算机408统考真题及答案.pdf,2025,解析/答案,21,ocr_easyocr,567,176
2025年计算机408统考真题及答案.pdf,2025,解析/答案,22,ocr_easyocr,407,126
2025年计算机408统考真题及答案.pdf,2025,解析/答案,23,ocr_easyocr,172,106
2025年计算机408统考真题及答案.pdf,2025,解析/答案,24,ocr_easyocr,638,251
2025年计算机408统考真题及答案.pdf,2025,解析/答案,25,ocr_easyocr,104,59
2025年计算机408统考真题及答案.pdf,2025,解析/答案,26,ocr_easyocr,651,264
2025年计算机408统考真题及答案.pdf,2025,解析/答案,27,ocr_easyocr,267,134
2025年计算机408统考真题及答案.pdf,2025,解析/答案,28,ocr_easyocr,240,16
2025年计算机408统考真题及答案.pdf,2025,解析/答案,29,ocr_easyocr,308,119
2025年计算机408统考真题及答案.pdf,2025,解析/答案,30,ocr_easyocr,730,411
2025年计算机408统考真题及答案.pdf,2025,解析/答案,31,ocr_easyocr,1000,654
2025年计算机408统考真题及答案.pdf,2025,解析/答案,32,ocr_easyocr,125,81
